iter	Passed	Remaining
401	88728	131988
402	89455	132518
403	90162	133012
404	90850	133471
405	91982	134575
406	92808	135222
407	93907	136257
408	94582	136669
409	95274	137102
410	96150	137792
411	97122	138611
412	97431	138479
413	97710	138305
414	97886	137985
415	98129	137758
416	98192	137281
417	98237	136780
418	98301	136308
419	98352	135820
420	98415	135351
421	98468	134869
422	98517	134384
423	98573	133910
424	98633	133445
425	98700	132991
426	99008	132861
427	99081	132417
428	99157	131979
429	99214	131516
430	99263	131046
431	99314	130580
432	99369	130120
433	99425	129665
434	99518	129259
435	99781	129075
436	99863	128656
437	99909	128194
438	99949	127725
439	99992	127262
440	100036	126803
441	100078	126342
442	100117	125881
443	100167	125435
444	100208	124979
445	100249	124525
446	100293	124077
447	100334	123626
448	100378	123181
449	100418	122733
450	100474	122307
451	100518	121867
452	100560	121427
453	100601	120987
454	100644	120551
455	100689	120121
456	100734	119690
457	100770	119252
458	100800	118808
459	100835	118372
460	100865	117931
461	100897	117495
462	100927	117058
463	100962	116629
464	100996	116200
465	101028	115770
466	101057	115340
467	101084	114907
468	101114	114481
469	101144	114056
470	101173	113632
471	101203	113210
472	101232	112789
473	101264	112374
474	101295	111957
475	101326	111543
476	101358	111133
477	101388	110721
478	101420	110313
479	101453	109908
480	101490	109508
481	101532	109115
482	101567	108716
483	101600	108317
484	101629	107916
485	101660	107517
486	101691	107120
487	101721	106723
488	101750	106328
489	101780	105934
490	101812	105544
491	101845	105157
492	101876	104769
493	101908	104383
494	101943	104002
495	101977	103622
496	102009	103241
497	102040	102859
498	102071	102480
499	102101	102101
500	102126	101718
501	102152	101338
502	102184	100966
503	102213	100591
504	102246	100221
505	102274	99849
506	102307	99482
507	102341	99118
508	102374	98754
509	102405	98389
510	102438	98027
511	102480	97676
512	102514	97318
513	102547	96961
514	102578	96603
515	102611	96248
516	102644	95894
517	102676	95541
518	102708	95188
519	102740	94837
520	102772	94487
521	102807	94142
522	102838	93793
523	102874	93450
524	102909	93108
525	102943	92766
526	102978	92426
527	103024	92097
528	103055	91756
529	103086	91416
530	103118	91078
531	103146	90738
532	103178	90401
533	103210	90067
534	103243	89735
535	103274	89401
536	103307	89071
537	103340	88742
538	103371	88412
539	103402	88083
540	103433	87756
541	103469	87433
542	103502	87110
543	103542	86792
544	103576	86472
545	103609	86151
546	103641	85831
547	103672	85510
548	103704	85192
549	103729	84869
550	103759	84552
551	103800	84243
552	103834	83931
553	103865	83617
554	103894	83303
555	103925	82991
556	103956	82679
557	103989	82371
558	104021	82063
559	104052	81755
560	104084	81449
561	104117	81144
562	104148	80839
563	104177	80534
564	104207	80230
565	104242	79931
566	104274	79630
567	104304	79330
568	104338	79032
569	104370	78735
570	104407	78442
571	104439	78146
572	104470	77851
573	104502	77557
574	104535	77265
575	104567	76973
576	104600	76682
577	104632	76392
578	104660	76099
579	104692	75811
580	104724	75524
581	104755	75236
582	104787	74950
583	104821	74667
584	104853	74383
585	104884	74099
586	104917	73817
587	104948	73535
588	104979	73253
589	105006	72970
590	105039	72692
591	105070	72413
592	105100	72135
593	105132	71858
594	105164	71582
595	105195	71307
596	105231	71035
597	105258	70759
598	105287	70484
599	105321	70214
600	105355	69944
601	105385	69673
602	105415	69402
603	105447	69134
604	105487	68871
605	105529	68611
606	105567	68349
607	105603	68086
608	105635	67821
609	105667	67557
610	105701	67296
611	105740	67037
612	105772	66776
613	105806	66516
614	105840	66257
615	105871	65997
616	105903	65739
617	105939	65483
618	105971	65226
619	106002	64969
620	106035	64714
621	106064	64457
622	106097	64203
623	106131	63950
624	106163	63698
625	106198	63447
626	106228	63195
627	106260	62944
628	106294	62694
629	106327	62446
630	106357	62196
631	106386	61946
632	106419	61699
633	106452	61453
634	106481	61205
635	106515	60961
636	106549	60718
637	106583	60475
